Domain:,.opsta.in.th,,,,
Nameserver,192.168.1.1,,,,,
Host,Service,IP Mapping,Domain name,Configuration,Description
server1,TestHost1,192.168.119.130,cn310.opsta.in.th,Host file,
server2,TestHost2,192.168.119.135,cn320.opsta.in.th,Host file,
server3,TestHost3,192.168.119.131,cn400.opsta.in.th,Host file,
server4,TestHost4,10.0.0.139,testHost1.opsta.in.th,Host file,
server5,TestResolve1,34.133.233.173,argocd-ohm.opsta.in.th,Nameserver,
server6,TestResolve2,142.250.190.78,cicd-ohm.opsta.in.th,Nameserver,
server7,TestResolve3,9.8.7.6,test-resolve.opsta.in.th,Nameserver,
server8,TestResolve4,9.8.7.6,googles.com,Nameserver,
